Angle,Resistance
36,1959.395939
36,1959.395939
45,1949.0
45,2467.481013
45,2517.154839
45,2500.384615
54,2517.154839
54,3197.780488
54,3224.803279
54,3197.780488
63,3197.780488
63,3621.220183
63,3655.666667
63,3655.666667
72,3621.220183
72,4125.0
72,4214.87234
72,4261.258065
81,4261.258065
81,4671.635294
81,4728.428571
81,4671.635294
90,4671.635294
90,5236.578947
90,5236.578947
90,5236.578947
99,5236.578947
99,5693.914286
99,5693.914286
99,5612.323944
108,5693.914286
108,6139.523077
108,6139.523077
108,6139.523077
117,6139.523077
117,6659.4
117,6659.4
117,6659.4
126,6659.4
126,7142.142857
126,7273.8
126,7273.8
135,7273.8
135,7852.058824
135,8011.08
135,8011.08
144,8011.08
144,8349.0
144,8528.744681
144,8528.744681
153,8528.744681
153,9117.0
153,9117.0
153,9117.0
162,9117.0
162,9555.857143
162,9791.341463
162,9791.341463
171,9791.341463
171,10038.6
171,10038.6
171,10038.6
162,10038.6
162,9555.857143
162,9791.341463
162,9791.341463
153,9791.341463
153,9117.0
153,9117.0
153,9117.0
144,9117.0
144,8528.744681
144,8528.744681
144,8528.744681
135,8528.744681
135,8011.08
135,7852.058824
135,8011.08
126,8011.08
126,7410.333333
126,7410.333333
126,7410.333333
117,7410.333333
117,6773.949153
117,6773.949153
117,6892.448276
108,6773.949153
108,6237.0
108,6139.523077
108,6139.523077
99,6237.0
99,5693.914286
99,5612.323944
99,5693.914286
90,5693.914286
90,5380.783784
90,5236.578947
90,5236.578947
81,5236.578947
81,4907.222222
81,4786.590361
81,4786.590361
72,4786.590361
72,4406.6
72,4308.652174
72,4308.652174
63,4308.652174
63,3762.942857
63,3726.509434
63,3726.509434
54,3726.509434
54,3197.780488
54,3119.285714
54,3119.285714
45,3119.285714
45,2678.424658
45,2534.142857
45,2534.142857
36,2534.142857
36,2057.93617
36,2035.231579
36,2024.057592
27,2024.057592
27,1472.72093
27,1419.741573
27,1419.741573
18,1414.074627
18,844.032558
18,810.201794
18,812.244944
9,808.167785
9,99.971541
9,71.45145
9,73.042427
18,71.09396
18,612.410526
18,671.920152
18,667.548204
27,666.101887
27,1280.265306
27,1294.484536
27,1289.712329
36,1289.712329
36,1928.52
36,1928.52
36,1928.52
45,1918.432836
45,2467.481013
45,2500.384615
45,2500.384615
54,2483.828025
54,3224.803279
54,3171.193548
54,3171.193548
63,3171.193548
63,3621.220183
63,3690.757009
63,3655.666667
72,3655.666667
72,4169.463158
72,4261.258065
72,4261.258065
81,4261.258065
